id,id2,group,pubauthor,pubeditor,pubeditor_type,pubdate,pubtitle,volume,pubshort,staff,publisher,pubplace,series,pp,size,isbn,issn,remark
"195","1.1.4.3/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak",–,–,–,"1992","Magyar kiejtési szótár",–,–,–,"Gondolat Kiadó","Budapest",–,–,–,–,–,–
"196","1.1.4.3/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak","FEKETE László",–,–,"jav. és bőv. kiad.: 1995/2","Kiejtési szótár.",–,–,"Főszerk.: PALOJTAY Mária. Lektor: SZŰTS László. Tanácsadók: DEME László, ELEKFI             László, GRÉTSY László, HANGAY Zoltán, SZÉPE György","Nemzeti Tankönyvkiadó","Budapest",–,–,–,–,–,"Egységes jegyzet. 231 pp. 12 650 címszó."
"197","1.1.4.3/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak","MÉSZÁROS András",–,–,"1988, jav. és bőv. kiad. 1999/2","Igényës (ë–ző) kiejtési kisszótár. Adalékok a 15 magánhangzós magyar köznyelvi             kiejtés mércéjének kialakításához. Pronunciation Glossary for Using ë. Contributions to             shaping the standard of using ë in everday Standard Hungarian.",–,–,"Szerk.: TARNAI Imre. Lektor: BUVÁRI Márta. Tanácsadók: A Bokor Közösség. Angolra             fordította: MÉSZÁROS Villő","Gondos Bt.","Bicske / Budapest",–,"80 pp.","20 cm. 4055 címszó","ISBN 9630360217",–,"10 oldal Bevezetés , 16 oldal Függelék , 2 oldal Summary."
"198","1.1.4.3/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak","TÓTFALUSI István",–,–,"1998","Kiejtési szótár.",–,–,–,"Anno Kiadó","Budapest",–,"238 pp.","21 cm.","ISBN 9639189073",–,–
"199","1.1.4.3/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak","BUVÁRI Márta",–,–,"2001","Kiejtési szótár és útmutató 15 magánhangzóval.",–,–,"Munkatárs: ifj","Bárczi Géza Értékőrző Kiejtési alapítvány","Budapest",–,"182 pp.","20 cm.","ISBN 9630078953",–,"Lektorok: BALOGH Lajos, KISS Jenő."
"200","1.1.4.3/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.4. Nyelvművelő és nyelvhelyességi szótárak # 1.1.4.3. Kiejtési szótárak","TÓTFALUSI István",–,–,"2006","Kiejtési szótár. Idegen nevek, szavak, kifejezések és szólások helyes             kiejtése.",–,–,"Lektor: NUICS Tibor","Tinta Könyvkiadó","Budapest","A magyar nyelv kézikönyvei XI","520 pp.","24 cm. 40 000 név, szó, stb","ISBN 9637094288",–,"Sorozatszerk.: KISS Gábor."
"201","1.1.5/1","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak",–,"TÓTH Béla","„gyűjtötte és magyarázza”","1895, jav. és bőv. kiad.: 1901/2","Szájrul szájra. A magyarság szálló igéi.",–,–,–,"Társulat Kiadása","Budapest",–,"447 pp.",–,–,–,"Névmutató (381–387.); Tárgymutató (388–446.); Hibák igazítása 447. Hasonmás kiadás             az Akadémiai Kiadó Reprint sorozatában, Budapest, 1994. Az Athenaeum R."
"202","1.1.5/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak",–,"MARGALITS Ede","„gyűjtötte és rendezte”","1897","Magyar közmondások és közmondásszerű szólások.",–,–,–,"Kiadja: Kókai Lajos","Budapest",–,–,–,–,–,"Buschmann F. Könyvnyomdája. VII+770 pp. 25 336 címszó. hasonmás kiadás az Akadémiai             Kiadó Reprint sorozatában, Budapest, 1990."
"203","1.1.5/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","O. NAGY Gábor",–,–,"1957, részben átdolg.: 1965/2/, bőv. kiad.: 1979/3/,                 2001/7","Mi fán terem? Magyar szólásmondások eredete.",–,–,"A harmadik, bővített kiadást sajtó alá rendezte: KOVALOVSZKY Miklós. Az első kiadást             lektorálta: FERENCZY Géza","Gondolat Kiadó","Budapest",–,"517 pp.","20 cm.","ISBN 9632807456",–,"betűrendes szóés szólásmutató (496–512.). A 7. kiad. A Talentum kiadónál jelent meg.             412 pp. 367 szólásmondás. ISBN 9636451028."
"204","1.1.5/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","O. NAGY Gábor",–,–,"1966, vtlan kiad.: 1999/8","Magyar szólások és közmondások.",–,–,"Lektor: SZŐKE István. Ill.: SZÁNTÓ Piroska","Gondolat Kiadó","Budapest",–,"862 pp.","25 cm.","ISBN 9636450811 (1999/8/). Megj.: Szótár: 1–735; Mutató: 737–862. A             tételek betűnként számozva, összesen 17966 tétel. A Talentum Kiadó vtlan kiad.-ban             jelentette meg.",–,–
"205","1.1.5/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","BALOGH József",–,–,"1976","Az ész hordoz mindent. 1600 magyar közmondás.",–,–,"Szerk.: FERENCZ Imre","Albatrosz Könyvkiadó","Bukarest",–,"184 pp.",–,–,–,–
"206","1.1.5/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","VÖŐ Gabriella",–,–,"1989","Igaz ember igazat szól. Közmondások a romániai magyar folklórból.",–,–,"Munkatársak: TIMIS–BALÁZSY Rozália, STURZÁN Margit","Kriterion Könyvkiadó","Bukarest",–,"316 pp.","21 cm.","ISBN 9632819985",–,–
"207","1.1.5/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","PACZOLAY Gyula",–,–,"1989","Magyar közmondások és szólások. Hungarian Proverbs.",–,–,"Lektorok: LŐRINCZE Lajos, TÓTHNÉ KURTÁN Zsuzsanna, LACKOVITS Emőke","Pannon Nyomda","Veszprém",–,"115 pp.","12 cm. 650 számozott tétel","ISBN 9630262878",–,"bibliográfiánk legkisebb és egyben legdíszesebb darabja."
"208","1.1.5/8","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","PACZOLAY Gyula",–,–,"1989","Magyar közmondások és szólások.",–,–,"Német fordítás: CSUKÁS Ágnes",–,–,–,"127 pp.","12 cm.",–,–,"Veszprém (Pannon Nyomda)."
"209","1.1.5/9","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","NAGY Katalin",–,–,"1997","Közmondások és szólások kézikönyve.",–,–,–,"Tóth Könyvkereskedés","Debrecen",–,"603 pp.","15 cm.","ISBN 9639029920",–,–
"210","1.1.5/10","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","VÖŐ Gabriella",–,–,"1999","Szaván fogjuk. Erdélyi magyar szólások.",–,–,"Lektor: NAGY Olga","Erdélyi Gondolat Könyvkiadó","Székelyudvarhely",–,"371 pp.",–,"ISBN 9739269281",–,–
"211","1.1.5/11","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","UJVÁRY Zoltán",–,–,"2001","Szólásgyűjtemény.",–,–,"Lektorok: SEBESTYÉN Árpád, VOIGT Vilmos","Osiris Kiadó","Budapest",–,"668 pp.","Kb. 3500 szólás","ISBN 9633890497",–,–
"212","1.1.5/12","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","BÁRDOSI Vilmos",–,–,"2003","Magyar szólástár. Szólások, helyzetmondatok, közmondások értelmező és fogalomköri             szótára.",–,–,"Szerk.: BALÁZS Géza, BALOGH Péter, HESSKY Regina, KISS Gábor. Lektorok: KISS Jenő,             MAGAY Tamás. Az anyaggyűjtésben közreműködtek: GÖRBICZ Edit, IKER Bertalan, JÁRÁSI             Anikó, KISS Kornélia, † LÁSZLÓ Sarolta, MARUSZKI Judit, NAGY Ágnes, NÁRAY-SZABÓ Márton,             SIMON Péter, SZABÓ Dávid","Tinta Könyvkiadó","Budapest",–,"XXIII+948 pp.","24 cm. 13 000 szólás, szóláshasonlat, helyzetmondat, közmondás","ISBN 9639372471",–,"Szótári rész: 1–393. Névfelidéző szókapcsolatok, Fogalomköri mutató és szómutató             393–948."
"213","1.1.5/13","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","FORGÁCS Tamás",–,–,"2003","Magyar szólások és közmondások szótára. Mai nyelvünk állandósuló szókapcsolatai             példákkal szemléltetve.",–,–,"Az anyaggyűjtésben közreműködtek: BAGDI Johanna, BARANYI Eszter, BARNA Kata, GULYÁS             Attila, JÁRÁSI Anikó, LADÁNYI Erika, NYÍRI Attila, VILLÁNYI Zsófia. Lektorok: ROZGONYINÉ             MOLNÁR Emma, VELCSOV Mártonné","Tinta Könyvkiadó","Budapest",–,"844 pp.","24 cm. 8000 lexikai egység","ISBN 9639372668",–,"„A magyar nyelv kézikönyvei” VI. Sorozatszerk.: KISS Gábor. A példamondatok az             elmúlt évtized sajtótermékeiből gyűjtött nyelvi példák."
"214","1.1.5/14","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","BÁRDOSI Vilmos & KISS Gábor",–,–,"2005","Közmondások. 3000 magyar közmondás és szójárás betűrendes értelmező             dióhéjszótára.",–,–,–,"Tinta Könyvkiadó","Budapest",–,"231 pp.","20 cm.","ISBN 9637094113",–,"„Az ékesszólás kiskönyvtára 1.” Sorozatszerk.: BÁRDOSI Vilmos, KISS Gábor."
"215","1.1.5/15","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","BÁRDOSI Vilmos & KISS Gábor",–,–,"2005","Szólások. 5000 magyar állandósult szókapcsolat betűrendes értelmező             dióhéjszótára.",–,–,–,"Tinta Könyvkiadó","Budapest",–,"231 pp.","20 cm.","ISBN 9637094105",–,"„Az ékesszólás kiskönyvtára 2.” Sorozatszerk.: BÁRDOSI Vilmos, KISS Gábor."
"216","1.1.5/16","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","FORGÁCS Tamás",–,–,"2005","„Állati” szólások és közmondások. A felfuvalkodott békától a szomszéd             tehenéig.",–,–,"Lektorálta: ROZGONYINÉ MOLNÁR Emma. Szerk.: HIDALMÁSI Anna","Akadémiai Kiadó","Budapest",–,"417 pp.","20 cm.","ISBN 9630583143",–,–
"217","1.1.5/17","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","T. LITOVKINA Anna",–,–,"2005","Magyar közmondástár. Közmondások értelmező szótára példákkal             szemléltetve.",–,–,"Lektor: DACZI Margit. Szakmai konzulens: BÁRDOSI Vilmos. Szerk.: HIDALMÁSI Anna.             Lexikogr. tanácsadó: KISS Gábor. A szómutatót készítette: HIDALMÁSI Anna, TEMESI             Viola","Tinta Kiadó","Budapest","A magyar nyelv kézikönyvei X","818 pp.","24 cm.","ISBN 9637094337",–,"Sorozatszerk.: KISS Gábor."
"218","1.1.5/18","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak",–,"GERENCSÉR Ferenc","szerk","é. n.","Magyar közmondások, szólások diákoknak. Összeáll.",–,–,–,–,–,–,"557 pp.","20 cm.","ISBN 9639673086",–,"a Tárogató II. Bt. Munkaközössége. Puedlo Könyvkiadó, s. l."
"219","1.1.5/19","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","VÖŐ Gabriella",–,–,"1999, 2007","Erdélyi magyar szólások.",–,–,"Felelős szerk.: CSÁBI Szilvia","Akadémiai Kiadó","Budapest",–,"422 pp.","19 cm. 40 000 közmondás és szólás","ISBN 9789630585538",–,–
"220","1.1.5/20","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.5. Frazeológiai szótárak","BÁRDOSI Vilmos",–,–,"2009","Magyar szólások, közmondások értelmező és fogalomköri szótára.",–,–,"Lektorok: KISS Jenő, MAGAY Tamás. Számítástechnikai munkatárs: KISS Márton","Tinta Kiadó","Budapest","A magyar nyelv kézikönyvei 18","992 pp.","24 cm. Több mint 14 000 szólás, szóláshasonlat, helyzetmondat és közmondás értelmezése             és magyarázata","ISBN 9789639902046",–,–
"221","1.1.6/1","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","LADÓ János",–,–,"1971, 1972/2/, vtlan kiad.: 1972/3/,             1978/4/, 1982/5/, 1984/6/, 1990/7/,             jav.: 1996/8/, 2. leny.: 1999, 5. leny.: 2002","Magyar utónévkönyv.",–,–,"Lektorok: KÁLMÁN Béla, SZILÁGYI László","Akadémiai Kiadó","Budapest",–,"257 pp.","21 cm.","ISBN 9630535998",–,–
"222","1.1.6/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","LADÓ János & BÍRÓ Ágnes",–,–,"1998, utánny.: 1998, 1999, 2001, 2002, 2003, 2004, 9. utánny.: 2005","Magyar utónévkönyv.",–,"MUnk.","Lektorok: HAJDÚ Mihály, ÖRDÖG Ferenc","Vince Kiadó","Budapest",–,"261 pp.","21 cm. 2606 névcikk","ISBN 9639069728",–,"Készült a Magyar Tudományos Akadémia Nyelvtudományi Intézetének közreműködésével.             LADÓ János Magyar utónévkönyv című munkájának átdolgozott kiadása."
"223","1.1.6/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"1974","Keresztneveink, védőszentjeink.",–,–,"Szerk.: FEKETE Antal","Ecclesia Könyvkiadó","Budapest",–,"261 pp.","20 cm.","ISBN 9633634016",–,"CSERHÁTI József ajánló soraival. A névcikkekben a védőszentek megadásával."
"224","1.1.6/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"bőv.: 1992/2","Keresztneveink, védőszentjeink.",–,–,"Szerk.: FEKETE Antal","Szent István Társulat","Budapest",–,"208 pp.","20 cm.","ISBN 9633607647",–,"KONKOLY István ajánló soraival. A névcikkekben a védőszentek megadásával."
"225","1.1.6/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"jav. és bőv.: 2007/3","Keresztneveink, védőszentjeink.",–,–,"Szerk.: FEKETE Antal. Sajtó alá rendezte, a szócikkeket javította és kibővítette:             MESKÓ Lajos","Szent István Társulat","Budapest",–,"350 pp.","20 cm.","ISBN 9789633618943",–,"KONKOLY István ajánló soraival. A névcikkekben a védőszentek megadásával."
"226","1.1.6/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","HAJDÚ Mihály",–,–,"1987","Az 1773. évi helységnévtár névvégmutató szótára.",–,–,–,–,–,–,–,–,–,"ISSN 01336169","Magyar Névtani Dolgozatok 74. ELTE Magyar Nyelvészeti Tanszékcsoport Névkutató             Munkaközössége, Budapest. 170 pp. 21 cm. Sokszorosított kiadvány."
"227","1.1.6/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","HAJDÚ Mihály",–,–,"1989","Az 1873. évi helységnévtár névvégmutató szótára.",–,–,–,"ELTE Magyar Nyelvészeti Tanszékcsoport Névkutató Munkaközössége","Budapest",–,"346 pp.","21 cm.",–,"ISSN 01336169.","Sokszorosított kiadvány."
"228","1.1.6/8","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","KÁZMÉR Miklós",–,–,"1993","Régi magyar családnevek szótára XIV–XVII. század.",–,"CsnSz.","Munkatárs: K. SAL Éva. Lektor: MOLLAY Károly","Magyar Nyelvtudományi Társaság","Budapest",–,"1172 pp.","25 cm.","ISBN 9637530312",–,"Előszó (3.); Tájékoztatás 4–8.); Szakirodalom, forrásjelzések, egyéb rövidítések             (9–17.); Levéltári forrásjelzések (18–19.); a hátsó borítón „Magyarország a XV.             században” térkép. Összesen 14101 (10466 önálló és 3635 utaló) címszó."
"229","1.1.6/9","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","VIGH Károly",–,–,"1996","Marosvásárhelyi helynevek és földrajzi közszavak.",–,–,"Munkatárs: PÁLL ANTAL Sándor","Pallasz Akadémia Könyvkiadó","Csíkszereda",–,"277 pp.",–,"ISBN 9739755445",–,"+ mellékletek."
"230","1.1.6/10","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","LELKES György",–,–,"1998","Magyar helységnév-azonosító szótár.",–,–,–,"Talma Könyvkiadó","Baja",–,"963 pp.","64 térképlap","ISBN 9639755445",–,–
"231","1.1.6/11","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"é. n. [2004]","Magyarországi nemzeti és etnikai kisebbségek utónévkönyve. Bolgár. Cigány. Görög.             Horvát. Lengyel. Örmény. Román. Ruszin. Szerb. Szlovák. Szlovén. Ukrán.",–,–,"Felelős szerk.: S. DÁVID Emese. Szerkesztők: GENÁT Andrea, RÉZMŰVES Melinda, SZKEVISZ             Theodorosz, GOHÉR Krisztina, Dr","Aranyhal Könyvkiadó","Budapest",–,"976 pp.","23 cm.","ISBN 9633480884",–,"SUTARSKI Konrád, Dr. DZSOTJÁNNÉ KRAJCSIR Piroska, Dr. DZSOTJÁN Gagik, Dr. BORBÉLY             Anna, SKYBA Irina, Dr. LYAVINECZ Marianna, BEKIC Borisz, SISKOVITY Nevena, MATEJDESZ             Mária, TÓTH Sándor, MUKICSNÉ KOZÁR Mária, HARTYÁNYI Jaroszlava, SZLJUZKO Ljudmila.             Munkatárs: FEHÉR Ildikó. A Kiadó, a Miniszterelnöki Hivatal és a Belügyminisztérium             előszavával. 12 kisebbség névanyaga egymást követő fejezetekben, előszavakkal,             ábécével."
"232","1.1.6/12","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"2004","Magyarországi német utónevek jegyzéke",–,–,–,"Magyarországi Németek Országos Önkormányzata","s",–,"47 pp.",–,–,–,"n. [Budapest],"
"233","1.1.6/13","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","FEHÉRTÓI Katalin",–,–,"2004","Árpád-kori személynévtár (1000–1301). Onomasticon Hungaricum. Nomina propria             personarum ætatis Arpadianæ (1000–1301).",–,"ÁSznt.","A számítógépes adatbázist és a tördelést tervezte és programozta, a mutatókat és a             CD-mellékletet készítette: MAYER Gyula. Lektorok: BENKŐ Loránd, SOLYMOSI László","Akadémiai Kiadó","Budapest",–,"895 pp.","29 cm. Kb. 9500 névcikk, 7300 utaló névcikk, 26800 névváltozat, 38000 adat","ISBN 9630581698",–,"A kötet végén Mutatók (Nemzetségek, Nők, A tergo). A járulékos részek német             fordítással. Teljes anyaga a CD-ROM mellékleten."
"234","1.1.6/14","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"2005","Korai magyar helynévszótár. 1000–1350, I. kötet. Abaúj–Csongrád             vármegye.",–,"KMHsz.","Szerk.: HOFFMANN István. Tech. szerk.: TÓTH Valéria. A szócikkeket szerk.: PÓCZOS             Rita, RÁCZ Anita, TÓTH Valéria. A szótár készítésében közreműködött: Győrffy Erzsébet,             RESZEGI Katalin","A Magyar Névarchívum Kiadványai 10.","Debrecen",–,"449 pp.","29 cm.","ISBN 9634729347; ISSN 1417-958X",–,"Összkiadás: ISBN 9634729339 ö; I. kötet: A kötet végén Névés szóalakmutató és             Névvégmutató. Készült a Debreceni Egyetem Magyar Nyelvtudományi Tanszékén."
"235","1.1.6/15","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","HAJDÚ Mihály",–,–,"2007","Az 1913. évi helységnévtár névvégmutató szótára.",–,–,"Tech. szerk.: HAGYMÁSI Júlia, HAJDÚ Boglár","ELTE Magyar Nyelvészeti Tanszékcsoport Névkutató Munkaközössége","Budapest",–,"346 pp.","21 cm.",–,"ISSN 01336169.",–
"236","1.1.6/16","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","FERCSIK Erzsébet & RAÁTZ Judit",–,–,"2009","Keresztnevek enciklopédiája. A leggyakoribb női és férfinevek.",–,"KnE.","Lektor: KOROMPAY Klára","Tinta Könyvkiadó","Budapest",–,"439 pp.","24 cm. 200 névcikk","ISBN 9789639902183",–,"A Magyar Nyelv Kézkönyvei XVI. A 100-100 leggyakrabban viselt magyarországi             keresztnév enciklopédikus bemutatása. Ábrákkal, a kötet végén mellékletek,             névmutató."
"237","1.1.6/17","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak",–,–,–,"2009","Régi magyar családnevek névvégmutató szótára. XIV–XVII. század.",–,"CsnVégSz.","Szerk.: FARKAS Tamás. A szerk. munkatársa: F. LÁNCZ Éva Anna. Tech. szerk.: MÁRTONFI             Attila","ELTE Magyar Nyelvtudományi és Finnugor Intézet – Magyar Nyelvtudományi             Társaság","Budapest",–,"191 pp.","24 cm. 14 101 névcikk","ISBN 9789632841250",–,"Magyar és angol nyelvű bevezetővel, a kötet végén a névanyag tipológiai jegyzékével.             Kódolási rendszere kétnyelvű könyvjelzőn mellékelve."
"238","1.1.6/18","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.6. Névszótárak","HAJDÚ Mihály",–,–,"2010","Családnevek enciklopédiája. Leggyakoribb mai családneveink.",–,"CsnE.","Lektor: FARKAS Tamás, T. SOMOGYI Magda","Tinta Könyvkiadó","Budapest",–,"551 pp.","24 cm. 1230 névcikk","ISBN 9789639902305",–,"A Magyar Nyelv Kézkönyvei XVII. Az ezer névviselőnél gyakoribb mai magyarországi             családnevek enciklopédikus bemutatása. A kötet végén eredet és gyakoriság szerinti             jegyzékkel (524–5 51.)."
"239","1.1.7/1","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek","HERNÁDI Miklós",–,–,"1976, bőv. kiad.: 1985/5","Közhelyszótár.",–,–,"Lektorok: KEMÉNY Gábor, SZECSKŐ Tamás, TÓTH Gyula","Gondolat Kiadó","Budapest",–,"363 pp.","18 cm.","ISBN 9632804260",–,–
"240","1.1.7/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek","GRÉTSY László & KOVALOVSZKY Miklós",–,–,"1980","Nyelvművelő kézikönyv (NyKk.)",–,–,"Írta és szerk.: ELEKFI László, GRÉTSY László, KOVALOVSZKY Miklós, LŐRINCZE Lajos,             SZŐKE István. Továbbá: BALOGH Márta, BÍRÓ Ágnes, ÉDER Zoltán, FERENCZY Géza, HUSZÁR             Ágnes, KEMÉNY Gábor, LADÓ János, RÁCZ Endre, RUZSICZKY Éva, SZENDE Aladár, SZÉPE György,             SZŰTS László, TOMPA József, T. URBÁN Ilona",–,–,–,"1295 pp. II. L–Zs. 1291 pp.","24 cm.","ISBN 9630523507",–,"Készült a Magyar Tudományos Akadémia Nyelvtudományi Intézetében. Akadémiai Kiadó,             Budapest. I. A – K."
"241","1.1.7/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek","TÓTFALUSI István",–,–,"1983","Vademecum. Szokatlan szavak szótára.",–,–,–,"Móra Ferenc könyvkiadó","Budapest",–,"350 pp.","23 cm.","ISBN 9631131904",–,"HEGEDŰS István rajzaival."
"242","1.1.7/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek",–,–,–,"1991","Magyar Larousse. Enciklopédikus szótár I. kötet.","I. A–Gy.",–,"Főszerk.: BAKOS Ferenc, Szávai János. Felelős szerk.: DÉVA Mária. Szerk.: BODÓNÉ             NEBELLA Judit, DÉVA Mária, MÁRTON Gyöngyvér, MÁRTON Kálmán, PAP Éva. Nyelvi szerk.:             BARTÓK István. Munkatársak: GÁBOR Györgyné, GALLAI Margit, JAKÓTS Lórántné. Képszerk.:             KATULIC László","Libraire Larousse / Akadémiai Kiadó","Paris / Budapest",–,"1065 pp.","28 cm.","ISBN 9630558572 (I. kötet), 9630558564 (összkiadás).",–,"a kötéstáblán: Magyar Larousse Enciklopédia. A francia kiadás 1979-ben jelent             meg."
"243","1.1.7/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek",–,–,–,"1992","Magyar Larousse. Enciklopédikus szótár II. kötet.","II. H–M.",–,"Főszerk.: Ruzsiczky Éva, SZÁVAI János","Libraire Larousse / Akadémiai Kiadó","Paris / Budapest",–,"1002 pp.","28 cm.","ISBN 963056421 (II. kötet), 9630558564 (összkiadás).",–,"a II. kötet szerkesztőit és munkatársait l. az I. kötetnél."
"244","1.1.7/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek",–,–,–,"1994","Magyar Larousse. Enciklopédikus szótár III. kötet.","III. N–Zs.",–,"Főszerk.: RUZSICZKY Éva, Szávai János. Felelős szerk.: DÉVA Mária. Szerk.: DÉVA             Mária, FEHÉR Miklósné, JAKÓTS Lórántné, MÁRTON Kálmán. Munkatársak: GALLAI Margit, GÁBOR             Györgyné, HETÉS Eszter, KOVÁCS Ágnes, RÁCZ Anna, O. MAGYARI Judit, VÍGHNÉ LANTOS Mária,             SZALAY Zsuzsanna. Képszerk.: KATULIC László","Libraire Larousse / Akadémiai Kiadó","Paris / Budapest",–,"1185 pp.","28 cm.","ISBN 9630567482 (III. kötet), 9630558564 (öszzkiadás).",–,"a „fordítók, lektorok, szerzők” nagy számára (100-on fölül) való tekintettel             kénytelenek voltunk eltekinteni felsorolásuktól. Akik tehát – meglehet, joggal – keresik             nevüket bibliográfiánkban, kérjük, érjék be azzal, hogy mi erre a tényre felhívtuk             szíves figyelmüket."
"245","1.1.7/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.7. Egyéb szótárak, szótárszerű művek","TÓTFALUSI István",–,–,"1994","Nyelvi vademecum.",–,–,–,"Móra","Budapest",–,–,–,–,–,–
